farmlet,week,collectdate,slurry,analysisweightusedg,replicate,testtube,softtube,testtube2 (9ml saline solution),image,cassette,well,captured,id,labid,image,eggcounts(strongyle),epg(2wellscombined)(strongyle),notes
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,a,1,1,y,499865,144495,,12,105,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,a,1,2,y,499865,144495,,9,105,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,b,2,1,y,499864,144495,,4,40,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,b,2,2,y,499864,144495,,4,40,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,c,1,1,y,499863,144495,,1,30,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,c,1,2,y,499863,144495,,5,30,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,d,2,1,y,499862,144495,,3,45,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,d,2,2,y,499862,144495,,6,45,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,e,1,1,y,499861,144495,,0,0,
fpgreenmob,2,17/05/2024,2,16.5,2,fec2,2,fec49,e,1,2,y,499861,144495,,0,0,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,a,1,1,y,499878,144503,,5,65,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,a,1,2,y,499878,144503,,8,65,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,b,2,1,y,499877,144503,,5,60,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,b,2,2,y,499877,144503,,7,60,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,c,1,1,y,499876,144503,,1,25,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,c,1,2,y,499876,144503,,4,25,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,d,2,1,y,499875,144503,,1,15,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,d,2,2,y,499875,144503,,2,15,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,e,1,1,y,499874,144503,,0,10,
fpgreenmob,2,17/05/2024,2,16.5,3,fec3,3,fec48,e,1,2,y,499874,144503,,2,10,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,a,1,1,y,499883,144504,,7,60,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,a,1,2,y,499883,144504,,5,60,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,b,2,1,y,499882,144504,,2,30,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,b,2,2,y,499882,144504,,4,30,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,c,1,1,y,499881,144504,,0,0,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,c,1,2,y,499881,144504,,0,0,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,d,2,1,y,499880,144504,,3,20,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,d,2,2,y,499880,144504,,1,20,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,e,1,1,y,499879,144504,,1,10,
fpgreenmob,2,17/05/2024,2,16.5,4,fec4,4,fec47,e,1,2,y,499879,144504,,1,10,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,a,1,1,y,499887,144505,,4,40,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,a,1,2,y,499887,144505,,4,40,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,b,2,1,y,499886,144505,,7,60,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,b,2,2,y,499886,144505,,5,60,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,c,1,1,y,499885,144505,,1,10,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,c,1,2,y,499885,144505,,1,10,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,d,2,1,y,499884,144505,,1,20,
fpbluemob,2,17/05/2024,2,18.8,1,fec8,1,fec43,d,2,2,y,499884,144505,,3,20,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,a,1,1,y,499891,144506,,3,25,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,a,1,2,y,499891,144506,,2,25,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,b,2,1,y,499890,144506,,3,15,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,b,2,2,y,499890,144506,,0,15,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,c,1,1,y,499889,144506,,1,15,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,c,1,2,y,499889,144506,,2,15,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,d,2,1,y,499888,144506,,7,50,
fpbluemob,2,17/05/2024,2,18.8,2,fec7,3,fec44,d,2,2,y,499888,144506,,3,50,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,a,1,1,y,499905,144510,,5,55,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,a,1,2,y,499905,144510,,6,55,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,b,2,1,y,499904,144510,,6,55,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,b,2,2,y,499904,144510,,5,55,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,c,1,1,y,499903,144510,,2,20,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,c,1,2,y,499903,144510,,2,20,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,d,2,1,y,499902,144510,,7,40,
fpbluemob,2,17/05/2024,2,18.8,3,fec6,4,fec45,d,2,2,y,499902,144510,,1,40,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,a,1,1,y,499908,144511,,1,5,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,a,1,2,y,499908,144511,,0,5,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,b,2,1,y,499907,144511,,2,35,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,b,2,2,y,499907,144511,,5,35,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,c,1,1,y,499906,144511,,0,10,
fpbluemob,2,17/05/2024,2,18.8,4,fec5,5,fec46,c,1,2,y,499906,144511,,2,10,
fpgreenmob,3,23/05/2024,1,16.2,1,fec1,1,fec50,a,1,1,y,500612,144612,,1,20,
fpgreenmob,3,23/05/2024,1,16.2,1,fec1,1,fec50,a,1,2,y,500612,144612,,3,20,
fpgreenmob,3,23/05/2024,1,16.2,1,fec1,1,fec50,b,2,1,y,500611,144612,,1,25,
fpgreenmob,3,23/05/2024,1,16.2,1,fec1,1,fec50,b,2,2,y,500611,144612,,4,25,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,a,1,1,y,500610,144612,,3,20,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,a,1,2,y,500610,144612,,1,20,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,b,2,1,y,500609,144612,,1,15,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,b,2,2,y,500609,144612,,2,15,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,c,1,1,y,500608,144612,,2,15,
fpgreenmob,3,23/05/2024,1,16.2,2,fec2,3,fec49,c,1,2,y,500608,144612,,1,15,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,a,1,1,y,500619,144615,,0,10,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,a,1,2,y,500619,144615,,2,10,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,b,2,1,y,500618,144615,,1,10,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,b,2,2,y,500618,144615,,1,10,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,c,1,1,y,500617,144615,,1,10,
fpgreenmob,3,23/05/2024,1,16.2,3,fec3,4,fec48,c,1,2,y,500617,144615,,1,10,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,a,1,1,y,500651,144634,,4,35,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,a,1,2,y,500651,144634,,3,35,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,b,2,1,y,500650,144634,,2,25,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,b,2,2,y,500650,144634,,3,25,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,c,1,1,y,500649,144634,,3,30,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,c,1,2,y,500649,144634,,3,30,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,d,2,1,y,500648,144634,,2,15,
fpbluemob,3,23/05/2024,1,18,1,fec4,5,fec47,d,2,2,y,500648,144634,,1,15,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,a,1,1,y,500647,144634,,2,15,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,a,1,2,y,500647,144634,,1,15,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,b,2,1,y,500646,144634,,4,25,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,b,2,2,y,500646,144634,,1,25,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,c,1,1,y,500645,144634,,1,5,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,c,1,2,y,500645,144634,,0,5,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,d,2,1,y,500644,144634,,0,10,
fpbluemob,3,23/05/2024,1,18,2,fec5,1,fec46,d,2,2,y,500644,144634,,2,10,
fpbluemob,3,23/05/2024,1,18,3,fec6,3,fec45,a,2,1,y,500656,144636,,1,5,
fpbluemob,3,23/05/2024,1,18,3,fec6,3,fec45,a,2,2,y,500656,144636,,0,0,
fpbluemob,3,23/05/2024,1,18,3,fec6,3,fec45,b,1,1,y,500655,144636,,0,0,
fpbluemob,3,23/05/2024,1,18,3,fec6,3,fec45,b,1,2,y,500655,144636,,0,0,
fpbluemob,3,23/05/2024,1,18,4,fec7,2,fec44,a,1,1,y,500654,144636,,1,5,
fpbluemob,3,23/05/2024,1,18,4,fec7,2,fec44,a,1,2,y,500654,144636,,0,5,
fpbluemob,3,23/05/2024,1,18,4,fec7,2,fec44,b,2,1,y,500653,144636,,3,30,
fpbluemob,3,23/05/2024,1,18,4,fec7,2,fec44,b,2,2,y,500653,144636,,3,30,
fpgreenmob,4,28/05/2024,1,18.2,1,fec11,1,fec41,a,1,1,y,501328,144850,,0,5,
fpgreenmob,4,28/05/2024,1,18.2,1,fec11,1,fec41,a,1,2,y,501328,144850,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,1,fec11,1,fec41,b,2,1,y,501327,144850,,0,5,
fpgreenmob,4,28/05/2024,1,18.2,1,fec11,1,fec41,b,2,2,y,501327,144850,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,a,1,1,y,501326,144850,,7,45,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,a,1,2,y,501326,144850,,2,45,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,b,2,1,y,501325,144850,,3,20,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,b,2,2,y,501325,144850,,1,20,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,c,1,1,y,501324,144850,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,c,1,2,y,501324,144850,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,d,2,1,y,501323,144850,,0,0,
fpgreenmob,4,28/05/2024,1,18.2,2,fec12,3,fec42,d,2,2,y,501323,144850,,0,0,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,a,2,1,y,501368,144871,,1,15,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,a,2,2,y,501368,144871,,2,15,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,b,1,1,y,501367,144871,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,b,1,2,y,501367,144871,,0,5,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,c,2,1,y,501366,144871,,0,0,
fpgreenmob,4,28/05/2024,1,18.2,3,fec13,4,fec43,c,2,2,y,501366,144871,,0,0,
fpgreenmob,4,28/05/2024,1,18.2,4,fec13,4,fec43,a,1,1,y,501387,144881,,1,10,
fpgreenmob,4,28/05/2024,1,18.2,4,fec13,4,fec43,a,1,2,y,501387,144881,,1,10,
fpgreenmob,4,28/05/2024,1,18.2,4,fec13,4,fec43,b,2,1,y,501386,144881,,1,5,
fpgreenmob,4,28/05/2024,1,18.2,4,fec13,4,fec43,b,2,2,y,501386,144881,,0,5,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,a,1,1,y,501385,144881,,3,15,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,a,1,2,y,501385,144881,,0,15,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,b,2,1,y,501384,144881,,1,15,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,b,2,2,y,501384,144881,,2,15,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,c,1,1,y,501383,144881,,1,10,
fpgreenmob,4,28/05/2024,2,8,1,fec17,1,fec37,c,1,2,y,501383,144881,,1,10,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,a,1,1,y,501396,144884,,1,5,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,a,1,2,y,501396,144884,,0,5,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,b,2,1,y,501395,144884,,0,10,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,b,2,2,y,501395,144884,,2,10,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,c,1,1,y,501394,144884,,1,20,
fpgreenmob,4,28/05/2024,2,8,2,fec18,3,fec38,c,1,2,y,501394,144884,,3,20,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,a,2,1,y,501393,144884,,0,10,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,a,2,2,y,501393,144884,,2,10,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,b,2,1,y,501392,144884,,0,5,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,b,2,2,y,501392,144884,,1,5,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,c,1,1,y,501391,144884,,0,0,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,c,1,2,y,501391,144884,,0,0,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,d,2,1,y,501390,144884,,1,10,
fpgreenmob,4,28/05/2024,2,8,3,fec19,4,fec39,d,2,2,y,501390,144884,,1,10,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,a,1,1,y,501492,144925,,1,10,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,a,1,2,y,501492,144925,,1,10,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,b,2,1,y,501491,144925,,1,10,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,b,2,2,y,501491,144925,,1,10,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,c,1,1,y,501490,144925,,2,45,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,c,1,2,y,501490,144925,,7,45,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,d,2,1,y,501489,144925,,0,0,
fpbluemob,4,28/05/2024,1,20,1,fec1,1,fec50,d,2,2,y,501489,144925,,0,0,
fpbluemob,4,28/05/2024,1,20,2,fec2,3,fec49,a,1,1,y,501488,144925,,2,20,
fpbluemob,4,28/05/2024,1,20,2,fec2,3,fec49,a,1,2,y,501488,144925,,2,20,
fpbluemob,4,28/05/2024,1,20,2,fec2,3,fec49,b,2,1,y,501487,144925,,0,5,
fpbluemob,4,28/05/2024,1,20,2,fec2,3,fec49,b,2,2,y,501487,144925,,1,5,
fpbluemob,4,28/05/2024,1,20,3,fec3,4,fec48,a,1,1,y,501486,144925,,0,10,
fpbluemob,4,28/05/2024,1,20,3,fec3,4,fec48,a,1,2,y,501486,144925,,2,10,
fpbluemob,4,28/05/2024,1,20,3,fec3,4,fec48,b,2,1,y,501485,144925,,1,10,
fpbluemob,4,28/05/2024,1,20,3,fec3,4,fec48,b,2,2,y,501485,144925,,1,10,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,a,1,1,y,501534,144946,,2,25,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,a,1,2,y,501534,144946,,3,25,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,b,2,1,y,501533,144946,,0,5,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,b,2,2,y,501533,144946,,1,5,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,c,1,1,y,501532,144946,,1,10,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,c,1,2,y,501532,144946,,1,10,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,d,2,1,y,501531,144946,,0,0,
fpgreenmob,2,17/05/2024,3,12.4,1,fec5,1,fec47,d,2,2,y,501531,144946,,0,0,
fpgreenmob,2,17/05/2024,3,12.4,2,fec6,3,fec46,a,1,1,y,501530,144946,,0,20,
fpgreenmob,2,17/05/2024,3,12.4,2,fec6,3,fec46,a,1,2,y,501530,144946,,4,20,
fpgreenmob,2,17/05/2024,3,12.4,5,fec9,6,fec36,b,2,1,y,501536,144948,,1,5,
fpgreenmob,2,17/05/2024,3,12.4,5,fec9,6,fec36,b,2,2,y,501536,144948,,0,5,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,a,1,1,y,501823,144993,,4,50,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,a,1,2,y,501823,144993,,6,50,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,b,2,1,y,501822,144993,,5,40,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,b,2,2,y,501822,144993,,3,40,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,c,2,1,y,501820,144993,,0,0,
fpbluemob,2,17/05/2024,3,17.6,1,fec1,1,fec50,c,2,2,y,501820,144993,,0,0,
fpbluemob,2,17/05/2024,3,17.6,2,fec2,2,fec49,a,1,1,y,501819,144993,,1,5,
fpbluemob,2,17/05/2024,3,17.6,2,fec2,2,fec49,a,1,2,y,501819,144993,,0,5,
fpbluemob,2,17/05/2024,3,17.6,2,fec2,2,fec49,b,2,1,y,501818,144993,,4,35,
fpbluemob,2,17/05/2024,3,17.6,2,fec2,2,fec49,b,2,2,y,501818,144993,,3,35,
fpbluemob,2,17/05/2024,3,17.6,3,fec3,3,fec48,a,1,1,y,501817,144993,,0,0,
fpbluemob,2,17/05/2024,3,17.6,3,fec3,3,fec48,a,1,2,y,501817,144993,,0,0,
fpbluemob,2,17/05/2024,3,17.6,3,fec3,3,fec48,b,2,1,y,501816,144993,,0,5,
fpbluemob,2,17/05/2024,3,17.6,3,fec3,3,fec48,b,2,2,y,501816,144993,,1,5,
fpbluemob,2,17/05/2024,3,17.6,4,fec4,4,fec47,a,1,1,y,501842,145001,,3,15,
fpbluemob,2,17/05/2024,3,17.6,4,fec4,4,fec47,a,1,2,y,501842,145001,,0,15,
fpbluemob,2,17/05/2024,3,17.6,4,fec4,4,fec47,b,2,1,y,501841,145001,,0,0,
fpbluemob,2,17/05/2024,3,17.6,4,fec4,4,fec47,b,2,2,y,501841,145001,,0,0,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,a,1,1,y,501840,145001,,4,30,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,a,1,2,y,501840,145001,,2,30,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,b,2,1,y,501839,145001,,9,50,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,b,2,2,y,501839,145001,,1,50,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,c,1,1,y,501838,145001,,0,0,
fpbluemob,2,17/05/2024,3,17.6,5,fec5,5,fec46,c,1,2,y,501838,145001,,0,0,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,a,1,1,y,501837,145001,,2,10,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,a,1,2,y,501837,145001,,0,10,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,b,2,1,y,501836,145001,,6,60,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,b,2,2,y,501836,145001,,6,60,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,c,1,1,y,501835,145001,,0,10,
fpbluemob,2,17/05/2024,3,17.6,6,fec6,6,fec45,c,1,2,y,501835,145001,,2,10,
fpbluemob,5,03/06/2024,1,10,1,fec5,5,fec45,a,1,1,y,502182,145184,,1,5,
fpbluemob,5,03/06/2024,1,10,1,fec5,5,fec45,a,1,2,y,502182,145184,,0,5,
fpbluemob,5,03/06/2024,1,10,1,fec5,5,fec45,b,2,1,y,502181,145184,,0,0,
fpbluemob,5,03/06/2024,1,10,1,fec5,5,fec45,b,2,2,y,502181,145184,,0,0,
fpbluemob,5,03/06/2024,1,10,2,fec6,6,fec44,a,1,1,y,502180,145184,,0,10,
fpbluemob,5,03/06/2024,1,10,2,fec6,6,fec44,a,1,2,y,502180,145184,,2,10,
fpbluemob,5,03/06/2024,1,10,2,fec6,6,fec44,b,2,1,y,502179,145184,,0,0,
fpbluemob,5,03/06/2024,1,10,2,fec6,6,fec44,b,2,2,y,502179,145184,,0,0,
fpbluemob,5,03/06/2024,1,10,3,fec7,3,fec43,a,1,1,y,502178,145184,,0,5,
fpbluemob,5,03/06/2024,1,10,3,fec7,3,fec43,a,1,2,y,502178,145184,,1,5,
fpbluemob,5,03/06/2024,1,10,4,fec8,4,fec42,a,2,1,y,502177,145184,,1,10,
fpbluemob,5,03/06/2024,1,10,4,fec8,4,fec42,a,2,2,y,502177,145184,,1,10,
